x1,x2,x3,x4,x5,weight,radius,rng_seed,kind,sigma_factor,sigma,shell_thickness,inner_radius,outer_radius
2.11346,2.46922,5.59294,2.75738,3.24526,7.58906,0.6966069262358255,31640625,shell,0.5,,0.2,0.5572855409886605,0.6966069262358255
6.19542,5.59294,2.75738,3.24526,8.31402,1.5566200000000001,0.3154896367905856,31640625,ball,0.5,,0.2,,
8.24034,2.75738,3.24526,8.31402,9.56254,6.03274,0.6210850838799423,31640625,gaussian,0.5,0.31054254193997116,0.2,,
7.31718,3.24526,8.31402,9.56254,8.25658,3.79198,0.4924099432627589,31640625,ball,0.5,,0.2,,
5.51986,8.31402,9.56254,8.25658,0.36366,6.499460000000001,0.6446625365794291,31640625,ball,0.5,,0.2,,
9.04822,9.56254,8.25658,0.36366,1.79082,9.81742,0.7923051530600451,31640625,shell,0.5,,0.2,0.6338441224480361,0.7923051530600451
5.02594,8.25658,0.36366,1.79082,3.99614,2.43434,0.3945339791610139,31640625,ball,0.5,,0.2,,
6.04838,0.36366,1.79082,3.99614,5.08378,9.35518,0.7734279617268008,31640625,ball,0.5,,0.2,,
4.30226,1.79082,3.99614,5.08378,0.93806,4.14586,0.5148741776094066,31640625,ball,0.5,,0.2,,
6.25302,3.99614,5.08378,0.93806,3.77962,5.15022,0.573860966660754,31640625,shell,0.5,,0.2,0.45908877332860326,0.573860966660754
7.71554,5.08378,0.93806,3.77962,8.65374,2.17994,0.37334992225939195,31640625,shell,0.5,,0.2,0.29867993780751356,0.37334992225939195
0.98758,0.93806,3.77962,8.65374,8.75898,10.00638,0.7998937267596505,31640625,ball,0.5,,0.2,,
4.30066,3.77962,8.65374,8.75898,8.00846,8.76826,0.7487735669848672,31640625,ball,0.5,,0.2,,
3.48982,8.65374,8.75898,8.00846,4.36042,8.03502,0.7167823060114825,31640625,gaussian,0.5,0.35839115300574126,0.2,,
5.66914,8.75898,8.00846,4.36042,1.69534,4.22954,0.520044327203216,31640625,gaussian,0.5,0.260022163601608,0.2,,
6.85478,8.00846,4.36042,1.69534,1.60218,9.66558,0.7861542288701452,31640625,gaussian,0.5,0.3930771144350726,0.2,,
6.95506,4.36042,1.69534,1.60218,8.21486,10.20666,0.8078590956245152,31640625,gaussian,0.5,0.4039295478122576,0.2,,
7.63862,1.69534,1.60218,8.21486,0.81322,2.15182,0.3709341042864822,31640625,ball,0.5,,0.2,,
0.64674,1.60218,8.21486,0.81322,5.68094,3.94314,0.502128524903304,31640625,gaussian,0.5,0.251064262451652,0.2,,
3.16998,8.21486,0.81322,5.68094,4.73338,5.05278,0.5684064398527504,31640625,gaussian,0.5,0.2842032199263752,0.2,,
3.30546,0.81322,5.68094,4.73338,5.79726,3.9010599999999998,0.49944205634825933,31640625,gaussian,0.5,0.24972102817412967,0.2,,
4.77942,5.68094,4.73338,5.79726,5.61802,2.38062,0.3901564886117179,31640625,shell,0.5,,0.2,0.31212519088937435,0.3901564886117179
2.80834,4.73338,5.79726,5.61802,3.57054,9.080739999999999,0.7619990249242679,31640625,ball,0.5,,0.2,,
6.25318,5.79726,5.61802,3.57054,0.07258,7.68798,0.7011322074543749,31640625,shell,0.5,,0.2,0.5609057659635,0.7011322074543749
7.99186,5.61802,3.57054,0.07258,6.59566,4.89146,0.5592590855706496,31640625,ball,0.5,,0.2,,
