x1,x2,x3,weight,radius,rng_seed,kind,sigma_factor,sigma,shell_thickness,inner_radius,outer_radius
3.17019,3.70383,3.38941,10.88359,0.16831405214224499,288000000,ball,0.5,,0.2,,
9.29313,3.38941,4.13607,1.83493,0.06911050076704701,288000000,shell,0.5,,0.2,0.055288400613637614,0.06911050076704701
2.36051,4.13607,4.86789,8.549109999999999,0.14917455184503853,288000000,gaussian,0.5,0.07458727592251926,0.2,,
5.97577,4.86789,2.47103,5.18797,0.11620719471230227,288000000,ball,0.5,,0.2,,
8.27979,2.47103,4.34381,4.2491900000000005,0.10516890801877204,288000000,gaussian,0.5,0.05258445400938602,0.2,,
3.57233,4.34381,2.38487,4.2261299999999995,0.10488314834336275,288000000,shell,0.5,,0.2,0.0839065186746902,0.10488314834336275
2.53891,2.38487,0.54549,8.15151,0.1456643657129028,288000000,shell,0.5,,0.2,0.11653149257032225,0.1456643657129028
4.07257,0.54549,7.68623,8.53277,0.1490319242497724,288000000,gaussian,0.5,0.0745159621248862,0.2,,
1.45339,7.68623,0.99421,10.71879,0.16703488039826672,288000000,gaussian,0.5,0.08351744019913336,0.2,,
4.37953,0.99421,7.62567,7.22533,0.13713968035319232,288000000,ball,0.5,,0.2,,
6.57331,7.62567,1.40709,7.76991,0.14221397759322166,288000000,shell,0.5,,0.2,0.11377118207457733,0.14221397759322166
1.48137,1.40709,5.66943,9.50957,0.15733115432389058,288000000,gaussian,0.5,0.07866557716194529,0.2,,
6.45099,5.66943,7.98061,7.6523900000000005,0.1411343856047639,288000000,ball,0.5,,0.2,,
5.23473,7.98061,3.13847,1.55253,0.06357030420897715,288000000,gaussian,0.5,0.031785152104488575,0.2,,
3.50371,3.13847,2.01269,10.84431,0.1680100462011092,288000000,ball,0.5,,0.2,,
0.28217,2.01269,1.54063,8.998370000000001,0.15304396638575232,288000000,ball,0.5,,0.2,,
5.43259,1.54063,7.54301,4.80999,0.11189389092336069,288000000,gaussian,0.5,0.055946945461680345,0.2,,
6.45793,7.54301,7.40327,2.72773,0.08426262401405227,288000000,gaussian,0.5,0.042131312007026134,0.2,,
