x1,x2,x3,x4,x5,weight,radius,rng_seed,kind,sigma,inner_radius,outer_radius
5.28365,6.17305,8.98235,6.89345,8.11315,17.47265,0.5899622700244777,13668750000,ball,,,
5.48855,8.98235,6.89345,8.11315,0.78505,2.39155,0.21826524224979096,13668750000,ball,,,
0.60085,6.89345,8.11315,0.78505,3.90635,3.58185,0.267115165930402,13668750000,gaussian,0.133557582965201,,
3.29295,8.11315,0.78505,3.90635,0.64145,7.9799500000000005,0.39869880534500624,13668750000,ball,,,
3.79965,0.78505,3.90635,0.64145,0.90915,9.74865,0.44067365583508744,13668750000,shell,,0.35253892466806996,0.44067365583508744
2.62055,3.90635,0.64145,0.90915,9.47705,3.04355,0.24622665751788805,13668750000,ball,,,
7.56485,0.64145,0.90915,9.47705,4.99035,9.58585,0.4369785946998848,13668750000,gaussian,0.2184892973499424,,
0.12095,0.90915,9.47705,4.99035,2.70945,6.88795,0.37041608919016605,13668750000,shell,,0.2963328713521329,0.37041608919016605
5.75565,9.47705,4.99035,2.70945,2.34515,3.86465,0.277459713466624,13668750000,shell,,0.2219677707732992,0.277459713466624
0.63255,4.99035,2.70945,2.34515,9.44905,1.37555,0.1655324106998057,13668750000,shell,,0.13242592855984456,0.1655324106998057
4.28885,2.70945,2.34515,9.44905,6.63435,8.949850000000001,0.4222335391643494,13668750000,gaussian,0.2111167695821747,,
2.46895,2.34515,9.44905,6.63435,1.89745,8.51595,0.411871176877778,13668750000,shell,,0.3294969415022224,0.411871176877778
0.75165,9.44905,6.63435,1.89745,0.02115,5.42065,0.32860224984814385,13668750000,gaussian,0.16430112492407192,,
8.72455,6.63435,1.89745,0.02115,5.90105,8.58755,0.4135990081461366,13668750000,gaussian,0.2067995040730683,,
9.17285,1.89745,0.02115,5.90105,9.23835,4.07385,0.28487042685004044,13668750000,ball,,,
7.13695,0.02115,5.90105,9.23835,9.00545,7.66395,0.390724982694539,13668750000,ball,,,
2.38765,5.90105,9.23835,9.00545,5.53715,4.01665,0.2828634567024093,13668750000,gaussian,0.14143172835120466,,
4.09655,9.23835,9.00545,5.53715,2.03305,3.87955,0.27799406620651473,13668750000,shell,,0.2223952529652118,0.27799406620651473
6.61685,9.00545,5.53715,2.03305,9.20235,3.35785,0.2586279724351245,13668750000,gaussian,0.12931398621756224,,
2.92495,5.53715,2.03305,9.20235,6.83345,1.13195,0.15016145617419843,13668750000,ball,,,
8.26365,2.03305,9.20235,6.83345,4.49315,3.25265,0.25454438192091966,13668750000,ball,,,
1.94855,9.20235,6.83345,4.49315,9.04505,4.45155,0.2977833951161764,13668750000,shell,,0.23822671609294113,0.2977833951161764
7.02085,6.83345,4.49315,9.04505,8.92635,1.20185,0.15472838165224434,13668750000,ball,,,
0.63295,4.49315,9.04505,8.92635,0.18145,7.71995,0.3921498859335273,13668750000,ball,,,
9.97965,9.04505,8.92635,0.18145,6.48915,10.72865,0.46229307514562434,13668750000,ball,,,
5.48055,8.92635,0.18145,6.48915,6.13705,5.50355,0.3311054333455155,13668750000,ball,,,
6.78485,0.18145,6.48915,6.13705,6.81035,8.00585,0.39934529647467915,13668750000,gaussian,0.19967264823733957,,
3.06095,6.48915,6.13705,6.81035,5.84945,8.22795,0.4048467630212867,13668750000,shell,,0.3238774104170294,0.4048467630212867
3.13565,6.13705,6.81035,5.84945,5.12515,8.04465,0.40031183153260025,13668750000,ball,,,
5.89255,6.81035,5.84945,5.12515,0.50905,10.23555,0.451544379973346,13668750000,ball,,,
8.30885,5.84945,5.12515,0.50905,7.25435,10.16985,0.4500928592938894,13668750000,shell,,0.36007428743511155,0.4500928592938894
5.00895,5.12515,0.50905,7.25435,2.63745,5.4559500000000005,0.3296704645480022,13668750000,gaussian,0.1648352322740011,,
7.33165,0.50905,7.25435,2.63745,8.00115,10.80065,0.4638417063299352,13668750000,ball,,,
2.38455,7.25435,2.63745,8.00115,7.36105,9.84755,0.4429033309878784,13668750000,ball,,,
9.99285,2.63745,8.00115,7.36105,0.65835,10.09385,0.4484079177679868,13668750000,shell,,0.35872633421438943,0.4484079177679868
3.27695,8.00115,7.36105,0.65835,1.34545,4.20395,0.28938340358134584,13668750000,gaussian,0.14469170179067292,,
6.16765,7.36105,0.65835,1.34545,6.71715,8.59665,0.4138180900970534,13668750000,gaussian,0.2069090450485267,,
2.15655,0.65835,1.34545,6.71715,9.89305,3.5395499999999998,0.26553322798284346,13668750000,shell,,0.21242658238627476,0.26553322798284346
6.23685,1.34545,6.71715,9.89305,3.42235,6.17785,0.35080318593441223,13668750000,shell,,0.2806425487475298,0.35080318593441223
6.66495,6.71715,9.89305,3.42235,4.77345,1.27195,0.1591768364443533,13668750000,gaussian,0.07958841822217665,,
7.24365,9.89305,3.42235,4.77345,6.87315,5.03265,0.31662354953462724,13668750000,ball,,,
0.40855,3.42235,4.77345,6.87315,9.30505,8.51155,0.411764760839415,13668750000,gaussian,0.2058823804197075,,
7.44085,4.77345,6.87315,9.30505,7.94635,2.8218500000000004,0.23708922195399937,13668750000,ball,,,
5.97295,6.87315,9.30505,7.94635,7.72145,5.45995,0.3297912904583062,13668750000,ball,,,
2.15965,9.30505,7.94635,7.72145,8.06915,7.7086500000000004,0.3918627780853916,13668750000,shell,,0.3134902224683133,0.3918627780853916
0.34055,7.94635,7.72145,8.06915,4.79705,9.96355,0.44550430136989566,13668750000,ball,,,
0.00485,7.72145,8.06915,4.79705,2.63035,10.42585,0.4557226198756721,13668750000,gaussian,0.22786130993783604,,
4.00095,8.06915,4.79705,2.63035,6.98945,7.56795,0.38827012568188113,13668750000,ball,,,
6.51565,4.79705,2.63035,6.98945,3.90515,8.22465,0.4047655685377092,13668750000,ball,,,
3.15255,2.63035,6.98945,3.90515,3.56905,1.09555,0.14772736480400572,13668750000,gaussian,0.07386368240200286,,
6.32885,6.98945,3.90515,3.56905,1.87435,5.38985,0.32766736500671695,13668750000,shell,,0.26213389200537357,0.32766736500671695
5.54895,3.90515,3.56905,1.87435,1.37745,10.39595,0.45506867368186615,13668750000,ball,,,
9.91165,3.56905,1.87435,1.37745,1.98115,2.18065,0.20841925162806232,13668750000,shell,,0.16673540130244988,0.20841925162806232
8.04455,1.87435,1.37745,1.98115,0.82105,3.10755,0.2488020255990306,13668750000,shell,,0.1990416204792245,0.2488020255990306
4.81285,1.37745,1.98115,0.82105,6.07835,10.11385,0.4488519366687842,13668750000,gaussian,0.2244259683343921,,
7.41695,1.98115,0.82105,6.07835,1.68545,8.74395,0.41734833191671905,13668750000,shell,,0.33387866553337525,0.41734833191671905
5.94765,0.82105,6.07835,1.68545,3.89715,9.17665,0.4275500220865114,13668750000,gaussian,0.2137750110432557,,
2.21655,6.07835,1.68545,3.89715,9.75305,5.19955,0.321830891788859,13668750000,gaussian,0.1609154458944295,,
9.85685,1.68545,3.89715,9.75305,1.64235,2.9978499999999997,0.24437107461515048,13668750000,shell,,0.19549685969212038,0.24437107461515048
8.40495,3.89715,9.75305,1.64235,0.71345,9.411950000000001,0.4329967682548874,13668750000,shell,,0.34639741460390994,0.4329967682548874
2.22365,9.75305,1.64235,0.71345,5.25315,2.81265,0.2367024186884796,13668750000,shell,,0.18936193495078368,0.2367024186884796
0.86855,1.64235,0.71345,5.25315,1.56505,4.57155,0.3017703637083948,13668750000,gaussian,0.1508851818541974,,
1.86085,0.71345,5.25315,1.56505,0.96635,8.441849999999999,0.4100753505200193,13668750000,gaussian,0.20503767526000966,,
9.31295,5.25315,1.56505,0.96635,3.26145,1.19995,0.15460602852723562,13668750000,shell,,0.1236848228217885,0.15460602852723562
0.33965,1.56505,0.96635,3.26145,5.64915,10.688649999999999,0.46143047868449755,13668750000,shell,,0.36914438294759805,0.46143047868449755
7.20055,0.96635,3.26145,5.64915,5.45705,6.4235500000000005,0.3577110892446143,13668750000,gaussian,0.17885554462230716,,
7.22485,3.26145,5.64915,5.45705,2.45035,6.84585,0.36928233971751556,13668750000,shell,,0.29542587177401247,0.36928233971751556
2.94095,5.64915,5.45705,2.45035,6.12945,4.90795,0.31267626394654074,13668750000,ball,,,
5.89565,5.45705,2.45035,6.12945,8.68515,4.40465,0.29621056973543525,13668750000,ball,,,
2.41255,2.45035,6.12945,8.68515,8.62905,3.95555,0.2807037978303098,13668750000,ball,,,
8.34885,6.12945,8.68515,8.62905,0.49435,4.60985,0.3030318284485558,13668750000,shell,,0.24242546275884466,0.3030318284485558
4.08895,8.68515,8.62905,0.49435,8.11745,3.33595,0.2577832030211601,13668750000,shell,,0.20622656241692808,0.2577832030211601
8.49165,8.62905,0.49435,8.11745,1.96115,9.560649999999999,0.4364038356896882,13668750000,gaussian,0.2182019178448441,,
5.70455,0.49435,8.11745,1.96115,6.28105,8.367550000000001,0.4082667459666592,13668750000,ball,,,
3.63285,8.11745,1.96115,6.28105,5.49835,4.133850000000001,0.2869605566913583,13668750000,gaussian,0.14348027834567914,,
